WD,FWHM,sig
707.106781186548,325.922675046908,55.5280603671291
565.685424949238,339.998734060372,32.5867872158536
424.264068711929,371.242603508866,61.2497526185346
989.949493661167,388.589604487798,25.7298806569546
1131.37084989848,517.579747557331,44.7068855423762
1272.79220613579,486.238642864163,43.1944956542971
1414.2135623731,470.700256191056,54.4942845911843
848.528137423857,354.928074351794,26.7874627050874
777.817459305202,346.034788264991,28.3420308981378
919.238815542512,399.482300846468,16.0208130123978
1060.66017177982,435.872462919626,11.7900092861848
